SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
162,12,000,16475,00000,00000,Davie town,Florida,91992,91992,92205,93674
162,12,000,16525,00000,00000,Daytona Beach city,Florida,61005,61005,61011,61028
162,12,000,16550,00000,00000,Daytona Beach Shores city,Florida,4247,4251,4251,4253
162,12,000,16675,00000,00000,DeBary city,Florida,19320,19315,19316,19324
162,12,000,16725,00000,00000,Deerfield Beach city,Florida,75018,75018,75191,76389
162,12,000,16800,00000,00000,DeFuniak Springs city,Florida,5177,5177,5202,5248
162,12,000,16875,00000,00000,DeLand city,Florida,27031,27031,27033,27041
162,12,000,17100,00000,00000,Delray Beach city,Florida,60522,60522,60650,61209
162,12,000,17200,00000,00000,Deltona city,Florida,85182,85182,85191,85219
162,12,000,17325,00000,00000,Destin city,Florida,12305,12305,12303,12489
162,12,000,17935,00000,00000,Doral city,Florida,45704,45704,45827,46789
162,12,000,18550,00000,00000,Dundee town,Florida,3717,3717,3723,3764
162,12,000,18575,00000,00000,Dunedin city,Florida,35321,35321,35308,35354
162,12,000,18675,00000,00000,Dunnellon city,Florida,1733,1733,1734,1740
162,12,000,18875,00000,00000,Eagle Lake city,Florida,2255,2255,2259,2283
162,12,000,19650,00000,00000,Eatonville town,Florida,2159,2159,2163,2199
162,12,000,19725,00000,00000,Ebro town,Florida,270,270,270,271
162,12,000,19825,00000,00000,Edgewater city,Florida,20750,20753,20756,20761
162,12,000,19900,00000,00000,Edgewood city,Florida,2503,2503,2509,2555
162,12,000,20650,00000,00000,El Portal village,Florida,2325,2325,2331,2380
162,12,000,21250,00000,00000,Esto town,Florida,364,364,363,362
162,12,000,21350,00000,00000,Eustis city,Florida,18558,18558,18610,18805
162,12,000,21425,00000,00000,Everglades city,Florida,400,400,402,408
162,12,000,21850,00000,00000,Fanning Springs city,Florida,764,764,764,758
162,12,000,22100,00000,00000,Fellsmere city,Florida,5197,5197,5207,5229
162,12,000,22175,00000,00000,Fernandina Beach city,Florida,11487,11487,11517,11624
162,12,000,22550,00000,00000,Flagler Beach city,Florida,4484,4484,4500,4563
