SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
162,12,000,15575,00000,00000,Cross City town,Florida,1728,1737,1737,1734,1707
162,12,000,15775,00000,00000,Crystal River city,Florida,3108,3097,3097,3066,3055
162,12,000,15968,00000,00000,Cutler Bay town,Florida,40286,40286,40453,41678,42221
162,12,000,16125,00000,00000,Dade City city,Florida,6437,6445,6452,6468,6510
162,12,000,16335,00000,00000,Dania Beach city,Florida,29639,29639,29703,30160,30574
162,12,000,16450,00000,00000,Davenport city,Florida,2888,2895,2901,2950,2979
162,12,000,16475,00000,00000,Davie town,Florida,91992,91992,92295,94150,95489
162,12,000,16525,00000,00000,Daytona Beach city,Florida,61005,61005,61015,61045,62035
162,12,000,16550,00000,00000,Daytona Beach Shores city,Florida,4247,4253,4253,4244,4258
162,12,000,16675,00000,00000,DeBary city,Florida,19320,19315,19309,19267,19319
162,12,000,16725,00000,00000,Deerfield Beach city,Florida,75018,75018,75197,76431,77439
162,12,000,16800,00000,00000,DeFuniak Springs city,Florida,5177,5184,5207,5363,5487
162,12,000,16875,00000,00000,DeLand city,Florida,27031,27029,27067,27228,27447
162,12,000,17100,00000,00000,Delray Beach city,Florida,60522,60580,60796,61527,62357
162,12,000,17200,00000,00000,Deltona city,Florida,85182,85182,85207,85117,85442
162,12,000,17325,00000,00000,Destin city,Florida,12305,12305,12295,12420,12809
162,12,000,17935,00000,00000,Doral city,Florida,45704,45709,45931,47424,48134
162,12,000,18550,00000,00000,Dundee town,Florida,3717,3717,3725,3774,3824
162,12,000,18575,00000,00000,Dunedin city,Florida,35321,35321,35299,35299,35444
162,12,000,18675,00000,00000,Dunnellon city,Florida,1733,1733,1733,1735,1746
162,12,000,18875,00000,00000,Eagle Lake city,Florida,2255,2255,2263,2296,2321
162,12,000,19650,00000,00000,Eatonville town,Florida,2159,2159,2163,2192,2229
162,12,000,19725,00000,00000,Ebro town,Florida,270,270,270,271,271
162,12,000,19825,00000,00000,Edgewater city,Florida,20750,20753,20751,20733,20803
162,12,000,19900,00000,00000,Edgewood city,Florida,2503,2503,2509,2557,2624
162,12,000,20650,00000,00000,El Portal village,Florida,2325,2325,2331,2377,2391
162,12,000,21250,00000,00000,Esto town,Florida,364,364,363,362,361
162,12,000,21350,00000,00000,Eustis city,Florida,18558,18558,18597,18702,18899
162,12,000,21425,00000,00000,Everglades city,Florida,400,400,400,402,403
162,12,000,21850,00000,00000,Fanning Springs city,Florida,764,764,765,761,757
162,12,000,22100,00000,00000,Fellsmere city,Florida,5197,5197,5203,5229,5286
162,12,000,22175,00000,00000,Fernandina Beach city,Florida,11487,11487,11513,11619,11705
162,12,000,22550,00000,00000,Flagler Beach city,Florida,4484,4484,4499,4547,4583
162,12,000,22975,00000,00000,Florida City city,Florida,11245,11245,11285,11819,11913
