SQL> @rm_duplicate_taxes
** Saint Johns **                                                                                                                   
5666305 Selected 107538                                                                                                             
5666322 Selected 65231                                                                                                              
5680307 Selected 85893                                                                                                              
5680319 Selected 608212                                                                                                             
5680340 Selected 57615                                                                                                              
5680750 Selected 56701                                                                                                              
5687928 Selected 225061                                                                                                             
5696673 Selected 367249                                                                                                             
5696676 Selected 1788103                                                                                                            
5696680 Selected 108344                                                                                                             
5696692 Selected 96440                                                                                                              
5696703 Selected 290111                                                                                                             
5704930 Selected 253488                                                                                                             
5705169 Selected 149617                                                                                                             
5705171 Selected 471416                                                                                                             
5705181 Selected 595676                                                                                                             
5705192 Selected 52844                                                                                                              
5705223 Selected 203523                                                                                                             
5705387 Selected 649411                                                                                                             
5705389 Selected 48983                                                                                                              
5713521 Selected 109411                                                                                                             
5713771 Selected 882666                                                                                                             
5713838 Selected 231278                                                                                                             
5713839 Selected 186877                                                                                                             
5713856 Selected 3436611                                                                                                            
5608355 Selected 60785                                                                                                              
5608429 Selected 123292                                                                                                             
5608431 Selected 53408                                                                                                              
5608615 Selected 12758                                                                                                              
5608618 Selected 54437                                                                                                              
5616085 Selected 12750                                                                                                              
5616113 Selected 18468                                                                                                              
5616356 Selected 57979                                                                                                              
5616360 Selected 120000                                                                                                             
5630871 Selected 86232                                                                                                              
5644928 Selected 182000                                                                                                             
5645022 Selected 106059                                                                                                             
5652093 Selected 95137                                                                                                              
5674045 Selected 96399                                                                                                              
5674072 Selected 47900                                                                                                              
5674087 Selected 80283                                                                                                              
5674089 Selected 107939                                                                                                             
5674095 Selected 158272                                                                                                             
5674101 Selected 200783                                                                                                             
5674107 Selected 217046                                                                                                             
5674113 Selected 1603826                                                                                                            
5674119 Selected 86977                                                                                                              
5688630 Selected 578207                                                                                                             
5688669 Selected 229913                                                                                                             
5688687 Selected 76242                                                                                                              
5688763 Selected 648800                                                                                                             
5696747 Selected 25500                                                                                                              
5696756 Selected 51750                                                                                                              
5696766 Selected 54351                                                                                                              
5696789 Selected 177594                                                                                                             
5696800 Selected 209115                                                                                                             
5696848 Selected 174754                                                                                                             
5696852 Selected 68011                                                                                                              
5696908 Selected 471650                                                                                                             
5696932 Selected 58016                                                                                                              
5696951 Selected 98810                                                                                                              
5696966 Selected 43350                                                                                                              
5696978 Selected 146129                                                                                                             
5696981 Selected 774493                                                                                                             
5696983 Selected 1228340                                                                                                            
5697013 Selected 112084                                                                                                             
5697080 Selected 214130                                                                                                             
5705451 Selected 110667                                                                                                             
5705543 Selected 156162                                                                                                             
5705560 Selected 88567                                                                                                              
5705624 Selected 146746                                                                                                             
5705731 Selected 1999341                                                                                                            
5705742 Selected 64958                                                                                                              
5705827 Selected 68216                                                                                                              
5608841 Selected 4000                                                                                                               
5608940 Selected 29472                                                                                                              
5608953 Selected 42856                                                                                                              
5608975 Selected 107344                                                                                                             
5609177 Selected 77102                                                                                                              
5616477 Selected 73458                                                                                                              
5616492 Selected 80387                                                                                                              
5616562 Selected 88512                                                                                                              
5624186 Selected 103495                                                                                                             
5624219 Selected 383225                                                                                                             
5624225 Selected 122456                                                                                                             
5638226 Selected 189301                                                                                                             
5638359 Selected 160992                                                                                                             
5638378 Selected 274793                                                                                                             
5638381 Selected 84240                                                                                                              
5638392 Selected 180687                                                                                                             
5638408 Selected 169297                                                                                                             
5638435 Selected 65988                                                                                                              
5645059 Selected 127562                                                                                                             
5659969 Selected 68990                                                                                                              
5659984 Selected 77161                                                                                                              
5660021 Selected 203395                                                                                                             
5660029 Selected 339730                                                                                                             
5660057 Selected 72822                                                                                                              
5660101 Selected 42407                                                                                                              
5660102 Selected 41092                                                                                                              
5660132 Selected 11500                                                                                                              
5660152 Selected 293838                                                                                                             
5660159 Selected 139881                                                                                                             
5660174 Selected 298876                                                                                                             
5660177 Selected 107998                                                                                                             
5660219 Selected 63700                                                                                                              
5660256 Selected 128099                                                                                                             
5660266 Selected 249732                                                                                                             
5674129 Selected 533714                                                                                                             
5674139 Selected 21854                                                                                                              
5674145 Selected 49732                                                                                                              
5674149 Selected 41960                                                                                                              
5674156 Selected 49912                                                                                                              
5674160 Selected 24664                                                                                                              
5674166 Selected 16524                                                                                                              
5674175 Selected 132394                                                                                                             
5674213 Selected 158368                                                                                                             
5674216 Selected 97383                                                                                                              
5674218 Selected 12000                                                                                                              
5674232 Selected 188531                                                                                                             
5674239 Selected 251994                                                                                                             
5674254 Selected 27500                                                                                                              
5674269 Selected 128423                                                                                                             
5674270 Selected 130752                                                                                                             
5674271 Selected 164991                                                                                                             
5674294 Selected 142790                                                                                                             
5674339 Selected 135066                                                                                                             
5689337 Selected 141614                                                                                                             
5697088 Selected 144997                                                                                                             
5697189 Selected 145409                                                                                                             
5697191 Selected 191542                                                                                                             
5697410 Selected 75000                                                                                                              
5609187 Selected 58289                                                                                                              
5609199 Selected 56299                                                                                                              
5609201 Selected 75598                                                                                                              
5609206 Selected 73769                                                                                                              
5609220 Selected 54667                                                                                                              
5609267 Selected 63917                                                                                                              
5609269 Selected 10442                                                                                                              
5609348 Selected 53473                                                                                                              
5609532 Selected 85879                                                                                                              
5609536 Selected 161229                                                                                                             
5616993 Selected 70486                                                                                                              
5631487 Selected 7755                                                                                                               
5631579 Selected 131944                                                                                                             
5638449 Selected 136767                                                                                                             
5638537 Selected 42503                                                                                                              
5645683 Selected 134967                                                                                                             
5682069 Selected 114451                                                                                                             
5682078 Selected 47900                                                                                                              
5682082 Selected 107524                                                                                                             
5682091 Selected 180267                                                                                                             
5682097 Selected 101395                                                                                                             
5682100 Selected 117121                                                                                                             
5682112 Selected 25500                                                                                                              
5682132 Selected 299216                                                                                                             
5682142 Selected 229470                                                                                                             
5689613 Selected 96053                                                                                                              
5689632 Selected 90050                                                                                                              
5689654 Selected 57165                                                                                                              
5689687 Selected 281234                                                                                                             
5689750 Selected 156908                                                                                                             
5689762 Selected 46830                                                                                                              
5690005 Selected 12300                                                                                                              
5697797 Selected 66336                                                                                                              
5697842 Selected 20601                                                                                                              
5697996 Selected 22936                                                                                                              
5697998 Selected 181625                                                                                                             
5707057 Selected 53404                                                                                                              
5707060 Selected 26085                                                                                                              
5609997 Selected 64471                                                                                                              
5639174 Selected 83595                                                                                                              
5639319 Selected 472115                                                                                                             
5639369 Selected 821                                                                                                                
5646165 Selected 52885                                                                                                              
5646170 Selected 92295                                                                                                              
5646185 Selected 368059                                                                                                             
5646217 Selected 326221                                                                                                             
5646255 Selected 111931                                                                                                             
5653671 Selected 96146                                                                                                              
5653688 Selected 376555                                                                                                             
5653754 Selected 3433333                                                                                                            
5653795 Selected 155999                                                                                                             
5653810 Selected 245011                                                                                                             
5653830 Selected 38340                                                                                                              
5653837 Selected 41791                                                                                                              
5653852 Selected 49820                                                                                                              
5653866 Selected 58084                                                                                                              
5653872 Selected 37316                                                                                                              
5668040 Selected 67836                                                                                                              
5668056 Selected 86051                                                                                                              
5668097 Selected 184241                                                                                                             
5668113 Selected 330648                                                                                                             
5668122 Selected 250911                                                                                                             
5668134 Selected 117103                                                                                                             
5668137 Selected 25500                                                                                                              
5668200 Selected 107020                                                                                                             
5682200 Selected 50391                                                                                                              
5682209 Selected 80803                                                                                                              
5682235 Selected 1041407                                                                                                            
5682260 Selected 121663                                                                                                             
5682274 Selected 170208                                                                                                             
5682281 Selected 87532                                                                                                              
5682285 Selected 215523                                                                                                             
5682324 Selected 59991                                                                                                              
5682326 Selected 786080                                                                                                             
5682356 Selected 804151                                                                                                             
5682359 Selected 79380                                                                                                              
5690132 Selected 267532                                                                                                             
5690447 Selected 192392                                                                                                             
5690469 Selected 100538                                                                                                             
5690471 Selected 95988                                                                                                              
5690482 Selected 140693                                                                                                             
5690498 Selected 118580                                                                                                             
5690509 Selected 226090                                                                                                             
5698340 Selected 91443                                                                                                              
5698345 Selected 1005835                                                                                                            
5698352 Selected 323494                                                                                                             
5698721 Selected 13650                                                                                                              
5698735 Selected 119098                                                                                                             
5698764 Selected 142722                                                                                                             
5707210 Selected 127352                                                                                                             
5707266 Selected 200641                                                                                                             
5707421 Selected 45822                                                                                                              
5707427 Selected 24225                                                                                                              
5707458 Selected 722150                                                                                                             
5707476 Selected 2636085                                                                                                            
5610274 Selected 28453                                                                                                              
5610302 Selected 124111                                                                                                             
5610408 Selected 44586                                                                                                              
5610426 Selected 68176                                                                                                              
5610464 Selected 36387                                                                                                              
5610470 Selected 16738                                                                                                              
5617991 Selected 93200                                                                                                              
5618006 Selected 19829                                                                                                              
5618007 Selected 19829                                                                                                              
5618024 Selected 8100                                                                                                               
5618038 Selected 2700                                                                                                               
5618042 Selected 4050                                                                                                               
5618069 Selected 13000                                                                                                              
5618203 Selected 48782                                                                                                              
5625761 Selected 205470                                                                                                             
5625763 Selected 128965                                                                                                             
5639375 Selected 18296                                                                                                              
5639377 Selected 119701                                                                                                             
5646826 Selected 119793                                                                                                             
5646838 Selected 139280                                                                                                             
5653881 Selected 94991                                                                                                              
5653915 Selected 75448                                                                                                              
5653978 Selected 170461                                                                                                             
5653981 Selected 1917800                                                                                                            
5654017 Selected 58469                                                                                                              
5654033 Selected 153906                                                                                                             
5654039 Selected 119330                                                                                                             
5668293 Selected 183470                                                                                                             
5668306 Selected 415287                                                                                                             
5668314 Selected 258573                                                                                                             
5668318 Selected 55663                                                                                                              
5668570 Selected 82556                                                                                                              
5682574 Selected 101471                                                                                                             
5682611 Selected 72765                                                                                                              
5682638 Selected 91982                                                                                                              
5682677 Selected 67500                                                                                                              
5690555 Selected 117535                                                                                                             
5690579 Selected 28832                                                                                                              
5699165 Selected 1101425                                                                                                            
5699167 Selected 411682                                                                                                             
5707824 Selected 132343                                                                                                             
5708008 Selected 175396                                                                                                             
5708014 Selected 25500                                                                                                              
5708114 Selected 413591                                                                                                             
5708120 Selected 25500                                                                                                              
5610846 Selected 108874                                                                                                             
5610850 Selected 52745                                                                                                              
5610857 Selected 4000                                                                                                               
5610861 Selected 83950                                                                                                              
5610875 Selected 74397                                                                                                              
5610886 Selected 82415                                                                                                              
5610935 Selected 56257                                                                                                              
5610944 Selected 13015                                                                                                              
5610948 Selected 97958                                                                                                              
5610970 Selected 46666                                                                                                              
5618381 Selected 24481                                                                                                              
5618400 Selected 51422                                                                                                              
5625795 Selected 55200                                                                                                              
5625804 Selected 557293                                                                                                             
5625806 Selected 47736                                                                                                              
5626017 Selected 752573                                                                                                             
5626094 Selected 62883                                                                                                              
5626100 Selected 344120                                                                                                             
5626102 Selected 59314                                                                                                              
5626104 Selected 58090                                                                                                              
5626122 Selected 129935                                                                                                             
5626127 Selected 110627                                                                                                             
5626150 Selected 125191                                                                                                             
5661996 Selected 506942                                                                                                             
5662005 Selected 10500                                                                                                              
5662027 Selected 93045                                                                                                              
5662039 Selected 68831                                                                                                              
5662073 Selected 118536                                                                                                             
5662078 Selected 36577                                                                                                              
5662080 Selected 45389                                                                                                              
5676034 Selected 47900                                                                                                              
5676067 Selected 125031                                                                                                             
5676128 Selected 54690                                                                                                              
5676130 Selected 25500                                                                                                              
5676137 Selected 74585                                                                                                              
5676159 Selected 64055                                                                                                              
5676173 Selected 50532                                                                                                              
5676236 Selected 87290                                                                                                              
5676241 Selected 101779                                                                                                             
5676245 Selected 259428                                                                                                             
5676265 Selected 154520                                                                                                             
5676269 Selected 215140                                                                                                             
5691417 Selected 118052                                                                                                             
5691423 Selected 114588                                                                                                             
5691432 Selected 72207                                                                                                              
5691436 Selected 36400                                                                                                              
5691481 Selected 87283                                                                                                              
5691486 Selected 82230                                                                                                              
5691511 Selected 130342                                                                                                             
5691534 Selected 950984                                                                                                             
5699557 Selected 115227                                                                                                             
5699562 Selected 47489                                                                                                              
5699564 Selected 53460                                                                                                              
5699576 Selected 102465                                                                                                             
5699751 Selected 106148                                                                                                             
5699753 Selected 49999                                                                                                              
5699838 Selected 69999                                                                                                              
5708140 Selected 183250                                                                                                             
5708168 Selected 115339                                                                                                             
5708174 Selected 109847                                                                                                             
5708175 Selected 149670                                                                                                             
5708286 Selected 50775                                                                                                              
5708299 Selected 116773                                                                                                             
5708575 Selected 402018                                                                                                             
5611039 Selected 39536                                                                                                              
5611046 Selected 192522                                                                                                             
5611069 Selected 69171                                                                                                              
