SQL> @rm_duplicate_taxes
** Saint Johns **                                                                                                                   
5606352 Selected 2700                                                                                                               
5606395 Selected 37537                                                                                                              
5606493 Selected 30604                                                                                                              
5606503 Selected 35625                                                                                                              
5606509 Selected 143367                                                                                                             
5606512 Selected 75293                                                                                                              
5614105 Selected 0                                                                                                                  
5614184 Selected 27216                                                                                                              
5614234 Selected 28194                                                                                                              
5614242 Selected 8250                                                                                                               
5622036 Selected 176030                                                                                                             
5622040 Selected 156492                                                                                                             
5643104 Selected 128828                                                                                                             
5643111 Selected 123019                                                                                                             
5643121 Selected 114434                                                                                                             
5643123 Selected 134656                                                                                                             
5650359 Selected 55043                                                                                                              
5650459 Selected 114562                                                                                                             
5650474 Selected 126261                                                                                                             
5650477 Selected 112075                                                                                                             
5650493 Selected 85508                                                                                                              
5657998 Selected 61936                                                                                                              
5658025 Selected 62282                                                                                                              
5658052 Selected 71387                                                                                                              
5672002 Selected 98887                                                                                                              
5672017 Selected 94029                                                                                                              
5672023 Selected 353426                                                                                                             
5672051 Selected 25500                                                                                                              
5672055 Selected 61468                                                                                                              
5672080 Selected 26660                                                                                                              
5672107 Selected 115672                                                                                                             
5672118 Selected 20178                                                                                                              
5672173 Selected 94329                                                                                                              
5672206 Selected 158918                                                                                                             
5672209 Selected 165072                                                                                                             
5672236 Selected 405266                                                                                                             
5672253 Selected 145210                                                                                                             
5672265 Selected 191581                                                                                                             
5686689 Selected 33315                                                                                                              
5686714 Selected 424849                                                                                                             
5686731 Selected 21739                                                                                                              
5686734 Selected 35920                                                                                                              
5686741 Selected 60981                                                                                                              
5686753 Selected 80384                                                                                                              
5686786 Selected 144843                                                                                                             
5686796 Selected 63398                                                                                                              
5686868 Selected 34668                                                                                                              
5686907 Selected 35227                                                                                                              
5686931 Selected 314126                                                                                                             
5694829 Selected 7200                                                                                                               
5694868 Selected 87162                                                                                                              
5694879 Selected 299231                                                                                                             
5694889 Selected 696335                                                                                                             
5694954 Selected 63013                                                                                                              
5694983 Selected 92204                                                                                                              
5695024 Selected 1452474                                                                                                            
5695025 Selected 1294583                                                                                                            
5695037 Selected 434890                                                                                                             
5695050 Selected 224143                                                                                                             
5695056 Selected 41278                                                                                                              
5695092 Selected 109933                                                                                                             
5695095 Selected 146347                                                                                                             
5695110 Selected 158590                                                                                                             
5703255 Selected 54722                                                                                                              
5703256 Selected 1183944                                                                                                            
5703662 Selected 252196                                                                                                             
5703673 Selected 111602                                                                                                             
5703715 Selected 326841                                                                                                             
5703717 Selected 51750                                                                                                              
5712036 Selected 54999                                                                                                              
5712087 Selected 69441                                                                                                              
5712377 Selected 79999                                                                                                              
5607005 Selected 56723                                                                                                              
5614384 Selected 177819                                                                                                             
5614397 Selected 60977                                                                                                              
5614473 Selected 99521                                                                                                              
5614621 Selected 72583                                                                                                              
5614629 Selected 30329                                                                                                              
5614660 Selected 99896                                                                                                              
5614667 Selected 45309                                                                                                              
5614707 Selected 537556                                                                                                             
5614769 Selected 207147                                                                                                             
5622167 Selected 109608                                                                                                             
5622214 Selected 174755                                                                                                             
5629110 Selected 1166                                                                                                               
5629183 Selected 110265                                                                                                             
5643157 Selected 141503                                                                                                             
5643166 Selected 129153                                                                                                             
5651051 Selected 680                                                                                                                
5651118 Selected 46323                                                                                                              
5651120 Selected 254347                                                                                                             
5658059 Selected 61096                                                                                                              
5658115 Selected 12000                                                                                                              
5658164 Selected 111875                                                                                                             
5658170 Selected 85858                                                                                                              
5658220 Selected 88472                                                                                                              
5658230 Selected 89566                                                                                                              
5658484 Selected 169704                                                                                                             
5672451 Selected 30400                                                                                                              
5672605 Selected 102130                                                                                                             
5695251 Selected 284277                                                                                                             
5695279 Selected 471473                                                                                                             
5695300 Selected 85800                                                                                                              
5695302 Selected 91300                                                                                                              
5695559 Selected 271386                                                                                                             
5703796 Selected 117150                                                                                                             
5703813 Selected 599668                                                                                                             
5703832 Selected 301196                                                                                                             
5703851 Selected 56000                                                                                                              
5703863 Selected 220758                                                                                                             
5703953 Selected 6075                                                                                                               
5712687 Selected 972674                                                                                                             
5712823 Selected 5100                                                                                                               
5712825 Selected 273555                                                                                                             
5712863 Selected 91563                                                                                                              
5712991 Selected 421095                                                                                                             
5713053 Selected 49897                                                                                                              
5713055 Selected 24750                                                                                                              
5713061 Selected 22185                                                                                                              
5713077 Selected 130443                                                                                                             
5713079 Selected 268583                                                                                                             
5607379 Selected 7500                                                                                                               
5607386 Selected 0                                                                                                                  
5607390 Selected 50531                                                                                                              
5607398 Selected 74550                                                                                                              
5607421 Selected 51825                                                                                                              
5607426 Selected 46131                                                                                                              
5607459 Selected 11694                                                                                                              
5607463 Selected 59317                                                                                                              
5607492 Selected 124997                                                                                                             
5607535 Selected 80252                                                                                                              
5614960 Selected 36132                                                                                                              
5614988 Selected 8000                                                                                                               
5615285 Selected 86689                                                                                                              
5615289 Selected 46694                                                                                                              
5629628 Selected 97935                                                                                                              
5629736 Selected 321984                                                                                                             
5629740 Selected 37668                                                                                                              
5629744 Selected 280830                                                                                                             
5629767 Selected 109805                                                                                                             
5629782 Selected 160005                                                                                                             
5629786 Selected 107872                                                                                                             
5636616 Selected 10343                                                                                                              
5636654 Selected 4313                                                                                                               
5636695 Selected 162147                                                                                                             
5636760 Selected 35964                                                                                                              
5636768 Selected 5400                                                                                                               
5636779 Selected 125300                                                                                                             
5643645 Selected 41278                                                                                                              
5644057 Selected 38964                                                                                                              
5644059 Selected 107640                                                                                                             
5651130 Selected 73960                                                                                                              
5651147 Selected 30886                                                                                                              
5666043 Selected 9879395                                                                                                            
5666052 Selected 430594                                                                                                             
5666062 Selected 401285                                                                                                             
5680086 Selected 100996                                                                                                             
5680103 Selected 77825                                                                                                              
5680105 Selected 68917                                                                                                              
5680118 Selected 257019                                                                                                             
5680133 Selected 25500                                                                                                              
5680149 Selected 25500                                                                                                              
5680190 Selected 60000                                                                                                              
5680195 Selected 189758                                                                                                             
