32133,12,1502,FL,EASTLAKE WEIR,1201502,-81.908968,29.02069,75,1
32134,12,1400,FL,SALT SPRINGS,1201400,-81.731211,29.437107,288,0.047314
32134,12,1501,FL,SALT SPRINGS,1201501,-81.970276,29.260866,20,0.003286
32134,12,1502,FL,SALT SPRINGS,1201502,-81.861144,29.391204,5763,0.946772
32134,12,1802,FL,SALT SPRINGS,1201802,-81.640472,29.26786,16,0.002629
32136,12,1400,FL,FLAGLER BEACH,1201400,-81.132236,29.467201,4902,0.972233
32136,12,1902,FL,FLAGLER BEACH,1201902,-81.109253,29.420255,140,0.027767
32137,12,1400,FL,PALM COAST,1201400,-81.215576,29.579554,20744,1
32139,12,1400,FL,GEORGETOWN,1201400,-81.612989,29.391085,797,1
32140,12,1400,FL,FLORAHOME,1201400,-81.865441,29.768545,865,1
32141,12,1903,FL,EDGEWATER,1201903,-80.893446,28.945191,8533,1
32145,12,1200,FL,HASTINGS,1201200,-81.467389,29.67205,2260,1
32147,12,1400,FL,HOLLISTER,1201400,-81.800773,29.62375,255,1
32148,12,1400,FL,INTERLACHEN,1201400,-81.880199,29.63565,5579,1
32157,12,1400,FL,LAKE COMO,1201400,-81.574338,29.47286,285,1
32159,12,1600,FL,LADY LAKE,1201600,-81.967014,28.938509,5870,0.323256
32159,12,1802,FL,LADY LAKE,1201802,-81.923934,28.930668,12289,0.676744
32162,12,1502,FL,32162,1201502,-82.015592,28.970715,5239,0.163975
32162,12,1600,FL,32162,1201600,-81.991422,28.906276,26711,0.836025
32164,12,1400,FL,32164,1201400,-81.227044,29.504288,18345,1
32168,12,1901,FL,NEW SMYRNA BEACH,1201901,-81.060164,29.009184,1999,0.157737
32168,12,1903,FL,NEW SMYRNA BEACH,1201903,-80.949061,29.028192,10674,0.842263
32169,12,1903,FL,NEW SMYRNA BEACH,1201903,-80.88375,29.012038,11497,1
32174,12,1400,FL,ORMOND BEACH,1201400,-81.171807,29.364506,989,0.041255
32174,12,1901,FL,ORMOND BEACH,1201901,-81.151056,29.26081,3203,0.133609
32174,12,1902,FL,ORMOND BEACH,1201902,-81.091287,29.293087,19781,0.825136
32176,12,1902,FL,ORMOND BEACH,1201902,-81.059364,29.326058,10386,1
