RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BDS,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,RMS,RNTM,RNTP,SMP,TEL,TEN,VACS,VAL,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACRP,FAGSP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHFLP,FINSP,FKITP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FPLMP,FRMSP,FRNTMP,FRNTP,FSMP,FSMXHP,FSMXSP,FTAXP,FTELP,FTENP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80
H,2007000000182,5,04008,3,12,1084729,1102938,00010,02,1,,,1,09,,0000,100,2,0002,003,3,,,,,,,3,2,01500,,2,3,,,2,0001,7,,,,1600,009,2,7,000220000,0,4,4,4,1,1,1,00,,0,1,00,,4,1,0,0,0,0,1,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00012,00011,00011,00004,00018,00004,00011,00016,00023,00021,00009,00004,00019,00010,00013,00011,00009,00003,00003,00012,00011,00010,00011,00017,00003,00016,00011,00003,00003,00004,00011,00017,00004,00012,00009,00009,00010,00023,00023,00014,00011,00010,00010,00002,00018,00003,00011,00022,00018,00016,00012,00003,00020,00012,00009,00011,00012,00003,00005,00010,00010,00010,00012,00021,00003,00017,00010,00004,00004,00003,00011,00019,00004,00009,00010,00011,00010,00016,00019,00010
H,2007000000195,5,01600,3,12,1084729,1102938,00019,02,1,1,,3,02,2,0000,130,2,0002,003,3,00700,,1,00770,1,1,5,,,,1,1,,21,1,0540,3,4,000041800,4,,,1,1,000041800,0,4,4,4,1,1,5,00,02,0,0,00,027,0,1,0,0,2,2,2,00945,3,0,1,45,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,00005,00027,00006,00022,00019,00030,00029,00027,00020,00020,00006,00025,00019,00006,00018,00023,00019,00020,00007,00029,00018,00021,00016,00006,00037,00016,00017,00018,00006,00037,00020,00017,00004,00022,00007,00006,00039,00046,00023,00019,00006,00034,00005,00020,00017,00033,00027,00041,00019,00021,00005,00035,00019,00006,00020,00017,00022,00026,00005,00033,00020,00016,00019,00006,00033,00019,00019,00018,00006,00031,00020,00016,00005,00020,00005,00005,00037,00033,00022,00019
H,2007000000196,5,03606,3,12,1084729,1102938,00013,03,1,,,2,09,,0510,070,2,0002,003,3,00000,,1,00510,1,1,4,,,,1,1,,13,1,0002,3,6,000024800,4,,,3,2,000028800,0,4,4,4,1,1,3,00,02,0,1,00,045,0,1,0,0,0,0,1,01090,3,0,0,24,2,11,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,00004,00003,00004,00015,00014,00013,00011,00014,00019,00021,00024,00013,00003,00014,00023,00011,00015,00026,00015,00004,00004,00005,00004,00015,00013,00014,00012,00013,00023,00024,00025,00011,00004,00014,00020,00012,00013,00022,00009,00026,00017,00021,00025,00013,00014,00014,00013,00017,00004,00004,00004,00014,00021,00010,00003,00013,00012,00003,00012,00026,00020,00021,00022,00012,00012,00013,00012,00011,00004,00003,00005,00015,00023,00010,00003,00015,00013,00004,00014,00003
H,2007000000202,5,02102,3,12,1084729,1102938,00016,01,1,,,2,08,,0000,100,2,0002,001,3,,,,,,,4,2,00750,,1,3,,,0,0001,5,,,,0850,024,3,6,000043300,0,4,4,4,1,1,7,00,,0,0,00,,0,1,0,0,1,1,1,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,00016,00004,00005,00004,00017,00025,00016,00005,00016,00015,00004,00016,00028,00028,00029,00016,00015,00015,00016,00024,00016,00005,00005,00005,00017,00026,00016,00004,00015,00017,00005,00015,00028,00025,00028,00018,00014,00017,00016,00005,00018,00029,00024,00028,00015,00004,00015,00030,00016,00016,00028,00016,00004,00005,00005,00018,00015,00016,00016,00004,00017,00027,00029,00026,00016,00005,00017,00028,00016,00015,00029,00016,00005,00005,00005,00016,00014,00016,00016,00025
H,2007000000215,5,04009,3,12,1084729,1102938,00012,04,1,,,4,04,,0000,080,2,0002,003,3,02000,,1,01200,1,1,8,,,,1,1,,20,3,1000,6,4,000021700,1,,,3,1,000021700,1,1,4,1,1,1,6,00,04,0,0,01,075,0,1,1,1,2,0,2,01363,3,0,0,42,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00011,00019,00013,00013,00012,00012,00021,00011,00013,00003,00004,00018,00021,00003,00013,00021,00003,00004,00010,00012,00012,00003,00011,00012,00012,00015,00003,00013,00014,00019,00020,00003,00004,00019,00010,00004,00018,00021,00011,00011,00010,00004,00012,00013,00012,00010,00004,00011,00014,00019,00019,00004,00003,00022,00014,00003,00020,00019,00011,00012,00012,00019,00012,00012,00011,00012,00019,00012,00011,00003,00004,00022,00019,00003,00012,00018,00005,00004,00013,00014
H,2007000000225,5,03613,3,12,1084729,1102938,00011,03,1,1,,4,02,2,0000,250,2,0002,003,3,02500,,1,00990,1,1,8,,,,1,1,,18,3,0480,6,2,000106500,4,,,1,1,000106500,0,4,4,4,1,1,5,00,03,0,0,00,014,0,1,0,0,0,0,1,01280,3,0,1,22,3,5,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00003,00003,00021,00011,00004,00019,00021,00009,00011,00003,00010,00010,00010,00009,00003,00010,00011,00018,00019,00011,00004,00004,00018,00012,00003,00018,00020,00012,00011,00003,00011,00011,00011,00010,00003,00012,00010,00018,00018,00011,00018,00018,00003,00012,00020,00003,00003,00010,00011,00019,00013,00012,00011,00012,00018,00011,00010,00003,00003,00010,00020,00019,00003,00012,00017,00003,00003,00011,00011,00019,00011,00010,00011,00010,00018,00010,00012,00003,00003,00012
H,2007000000287,5,00800,3,12,1084729,1102938,00017,02,1,3,3,3,02,2,0000,180,2,0002,003,3,00800,,,,,3,8,,,,1,2,,18,2,0002,3,4,000038300,4,,,1,1,000038300,0,4,4,4,1,1,4,00,02,0,0,00,013,0,1,0,0,2,2,1,00430,,0,0,34,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00017,00017,00005,00017,00027,00004,00004,00024,00019,00016,00026,00016,00032,00019,00020,00017,00005,00018,00004,00020,00016,00017,00005,00019,00028,00005,00005,00025,00015,00018,00034,00014,00027,00022,00016,00015,00005,00016,00004,00005,00017,00015,00031,00018,00004,00025,00025,00006,00020,00014,00005,00017,00006,00014,00015,00020,00030,00017,00024,00003,00015,00017,00028,00016,00006,00035,00031,00004,00015,00019,00006,00017,00005,00018,00018,00015,00027,00016,00024,00023
H,2007000000306,5,02206,3,12,1084729,1102938,00010,03,1,1,,2,02,2,0030,130,1,0002,040,2,01500,,1,00910,1,1,3,,,,1,1,,14,1,2600,6,7,000036400,1,,,2,3,000036400,0,1,4,1,1,1,4,00,03,0,0,01,044,0,1,0,1,0,0,1,01327,3,0,1,22,2,13,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00009,00009,00004,00010,00010,00011,00009,00003,00012,00009,00018,00016,00003,00003,00016,00008,00002,00018,00014,00009,00009,00010,00002,00011,00012,00009,00009,00003,00008,00010,00021,00022,00003,00003,00016,00010,00003,00016,00015,00009,00009,00010,00003,00009,00010,00010,00009,00003,00009,00010,00016,00017,00003,00003,00019,00010,00003,00019,00017,00008,00009,00009,00003,00009,00010,00011,00012,00003,00009,00009,00021,00019,00003,00003,00016,00011,00002,00014,00018,00011
H,2007000000313,5,03609,3,12,1084729,1102938,00016,05,1,1,,3,01,2,0000,080,1,0002,003,9,00000,05300,,,,3,5,,,,1,2,,02,3,0380,5,2,000050600,1,,,2,1,000050600,1,1,4,1,1,2,3,00,05,0,0,02,013,0,2,1,1,0,0,2,00559,,0,0,03,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00005,00031,00024,00026,00029,00005,00015,00017,00026,00005,00014,00015,00004,00018,00017,00004,00017,00019,00015,00017,00005,00023,00025,00027,00027,00004,00017,00017,00027,00005,00016,00017,00005,00015,00016,00005,00015,00017,00016,00017,00006,00029,00023,00025,00029,00005,00020,00018,00022,00004,00015,00014,00004,00015,00017,00003,00018,00014,00013,00019,00004,00025,00025,00025,00029,00004,00015,00019,00025,00005,00018,00019,00006,00017,00017,00005,00014,00018,00017,00018
H,2007000000335,5,02101,3,12,1084729,1102938,00018,02,1,1,,3,02,2,0000,200,2,0002,003,3,00800,,1,00360,1,1,6,,,,1,1,,16,2,1100,5,7,000040000,4,,,1,3,000040000,0,4,4,4,1,1,7,00,02,0,0,00,020,0,1,0,0,0,0,1,00652,3,0,1,21,2,13,13,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00018,00005,00019,00006,00029,00029,00017,00018,00018,00005,00019,00032,00018,00031,00032,00006,00016,00006,00020,00020,00018,00029,00017,00034,00005,00006,00018,00020,00017,00031,00020,00005,00017,00005,00006,00031,00017,00031,00017,00017,00018,00005,00018,00005,00033,00033,00017,00019,00019,00006,00018,00032,00018,00033,00029,00006,00020,00005,00018,00018,00017,00035,00020,00031,00004,00005,00018,00018,00019,00028,00016,00006,00018,00006,00005,00028,00018,00030,00017,00016
