Lady Lake;14098;13930;1.2%;13926;3.4%;10.9%;52.8%;54.3%;90.8%;5.1%;0.4%;1.1%;0.1%;1.3%;4.3%;88.2%;84.0%;7.5%;8.7%;87.3%;18.0%;3352;20;8865;75.1%;16.4%;$131,400;7183;1.95;$22,957;$35,625;8.1%;Lady Lake;1029;F;F;S;F;F;34.7%;NA;D;310899;$22,457;40159;Lady Lake;8.07;1725;37375;Lake County
Leesburg;20796;20361;2.1%;20117;7.6%;23.2%;22.6%;54.2%;63.5%;28.2%;0.3%;1.7%;0.2%;2.7%;9.0%;59.2%;76.4%;8.4%;10.6%;84.8%;19.6%;2201;17.7;10625;53.6%;35.5%;$133,000;8800;2.23;$22,603;$36,061;16.0%;Leesburg;2598;6.8%;F;S;F;1.8%;25.4%;177774;107643;701743;$33,017;71217;Leesburg;30.8;653.2;39875;Lake County
Mascotte;5188;5105;1.6%;5101;9.6%;34.0%;6.8%;48.8%;60.4%;11.8%;0.9%;1.5%;0.1%;3.7%;47.3%;37.2%;82.7%;22.3%;37.4%;70.9%;10.9%;222;35.4;1737;79.8%;0.0%;$124,400;1280;3.87;$13,795;$50,729;20.2%;Mascotte;275;F;F;F;F;60.4%;S;NA;D;10045;$1,862;D;Mascotte;11.38;448.4;43425;Lake County
Mount Dora;12655;12185;3.9%;12370;5.6%;18.6%;26.8%;53.9%;77.5%;15.6%;0.4%;1.8%;0.1%;1.8%;11.7%;69.5%;81.9%;11.1%;13.4%;88.9%;26.3%;1362;26.8;6942;57.1%;28.9%;$215,400;5447;2.24;$28,210;$45,104;14.4%;Mount Dora;1907;3.3%;F;S;F;4.9%;26.3%;NA;10987;445757;$35,678;38109;Mount Dora;8.02;1542;47050;Lake County
Tavares;14248;13957;2.1%;13951;4.5%;15.9%;33.6%;51.1%;84.3%;10.2%;0.4%;1.7%;0.1%;1.8%;7.8%;79.2%;83.9%;6.6%;8.7%;86.0%;14.5%;1901;24.6;7598;80.3%;12.7%;$139,200;6063;2.14;$23,524;$39,395;14.2%;Tavares;1279;S;S;S;F;S;30.2%;NA;11264;116176;$8,393;8581;Tavares;9.5;1468.2;71225;Lake County
Clewiston;7036;7155;-1.7%;7155;7.8%;27.0%;11.9%;48.6%;61.4%;12.7%;0.8%;2.3%;Z;2.9%;48.7%;35.2%;80.2%;27.7%;43.1%;59.6%;14.6%;252;18.1;2684;66.5%;22.1%;$129,600;2257;3.12;$18,587;$40,371;15.2%;Clewiston;1077;20.8%;F;F;F;S;33.1%;NA;130247;153945;$21,756;18033;Clewiston;4.7;1524;13000;Hendry County
Brooksville;7711;7721;-0.1%;7719;6.3%;20.3%;27.3%;55.2%;76.9%;18.0%;0.4%;0.9%;0.1%;2.1%;6.6%;72.7%;72.4%;3.0%;7.1%;82.4%;14.0%;659;25.5;4339;60.2%;20.9%;$48,300;3534;2.15;$20,120;$31,821;23.4%;Brooksville;1257;S;F;S;F;S;29.4%;NA;25697;359063;$43,745;32490;Brooksville;10.83;712.7;8800;Hernando County
Spring Hill;X;X;X;98621;5.3%;21.6%;22.2%;52.5%;88.1%;5.1%;0.4%;1.4%;Z;2.5%;13.6%;78.5%;86.0%;7.4%;13.0%;86.5%;15.3%;11675;30.8;44435;81.4%;4.6%;$149,400;38739;2.51;$21,703;$43,499;12.4%;Spring Hill;7604;S;1.0%;S;F;11.1%;29.5%;NA;15904;763356;NA;75679;Spring Hill;59.81;1649;68350;Hernando County
Sebring;10340;10413;-0.7%;10491;5.6%;19.7%;28.9%;51.6%;76.0%;14.7%;0.7%;1.4%;Z;2.7%;17.6%;64.8%;81.1%;12.0%;22.6%;75.2%;12.2%;1220;17.1;5623;57.0%;31.7%;$107,200;4331;2.26;$18,505;$30,319;21.9%;Sebring;1447;S;F;S;F;S;23.2%;NA;40972;638119;$60,405;44300;Sebring;9.98;1051.4;64875;Highlands County
Avon Park;8792;8833;-0.5%;8836;7.7%;26.5%;17.3%;51.8%;55.5%;28.1%;0.3%;0.8%;Z;4.3%;29.2%;41.3%;76.2%;13.9%;29.9%;67.6%;11.0%;632;21.9;4162;58.8%;30.3%;$88,300;3002;2.92;$13,148;$28,189;28.0%;Avon Park;833;S;F;F;F;S;S;NA;59470;174368;$19,665;18321;Avon Park;7.15;1235.1;2750;Highlands County
Apollo Beach;X;X;X;14055;6.4%;21.0%;15.7%;50.7%;86.4%;5.9%;0.4%;2.5%;Z;2.2%;12.7%;77.3%;86.0%;9.5%;13.8%;91.0%;28.6%;1666;31.1;6694;77.0%;5.4%;$245,100;5395;2.55;$39,532;$68,368;6.3%;Apollo Beach;1167;S;F;S;F;S;41.8%;NA;7377;38743;NA;3190;Apollo Beach;19.84;708.5;1675;Hillsborough County
Gibsonton;X;X;X;14234;10.1%;30.3%;7.1%;49.6%;72.8%;12.7%;0.6%;1.8%;0.1%;3.1%;27.9%;55.8%;81.6%;12.7%;28.0%;76.8%;14.1%;1142;27.8;5622;67.9%;2.7%;$159,400;4988;2.99;$17,335;$42,079;19.8%;Gibsonton;1106;S;F;F;F;S;S;NA;61340;153271;NA;4582;Gibsonton;12.79;1112.8;25900;Hillsborough County
Brandon;X;X;X;103483;6.4%;23.3%;9.4%;51.2%;72.0%;16.1%;0.4%;3.5%;0.1%;3.5%;21.0%;57.9%;80.3%;12.0%;23.3%;89.9%;26.9%;9575;25.6;43352;58.9%;35.9%;$174,600;38420;2.6;$25,919;$55,344;10.0%;Brandon;8748;9.8%;0.9%;5.1%;F;16.4%;28.4%;NA;698892;1777161;NA;219005;Brandon;33.1;3126.3;8150;Hillsborough County
Lutz;X;X;X;19344;4.8%;22.5%;12.3%;50.1%;88.8%;4.8%;0.4%;2.5%;0.1%;2.1%;12.8%;78.4%;92.7%;9.8%;16.2%;93.2%;37.1%;1576;29.5;7822;87.2%;7.4%;$243,800;6971;2.79;$35,992;$74,919;6.1%;Lutz;2742;S;F;F;F;13.9%;24.3%;NA;24407;143724;NA;11164;Lutz;24.65;784.7;41775;Hillsborough County
Odessa;X;X;X;7267;7.0%;26.9%;8.3%;50.0%;87.6%;4.1%;0.4%;4.1%;0.1%;2.2%;13.7%;76.3%;87.6%;12.5%;18.8%;92.0%;33.3%;510;33.3;2941;83.0%;12.2%;$238,000;2290;2.8;$30,366;$74,276;9.3%;Odessa;F;F;F;F;F;F;F;NA;NA;NA;NA;NA;Odessa;5.33;1363.2;51100;Pasco County
Plant City;35903;34682;3.5%;34721;8.1%;28.3%;11.5%;51.6%;69.5%;15.1%;0.6%;1.4%;Z;2.5%;28.8%;53.4%;83.0%;16.6%;30.0%;77.9%;17.1%;2409;23.4;13732;61.8%;24.3%;$162,700;11955;2.88;$22,271;$47,565;17.4%;Plant City;3344;S;F;4.0%;F;18.8%;S;1215555;860626;711732;$21,954;77482;Plant City;27.18;1277.3;57550;Hillsborough County
Riverview;X;X;X;71050;8.0%;29.1%;7.7%;51.9%;70.2%;17.0%;0.4%;3.1%;0.1%;4.0%;21.0%;56.8%;85.7%;10.8%;23.3%;90.5%;27.1%;6697;31.9;27513;79.0%;9.5%;$184,200;23345;2.82;$27,336;$67,298;8.3%;Riverview;2902;S;S;S;F;14.8%;S;NA;54029;182426;NA;21074;Riverview;46.19;1538.1;60950;Hillsborough County
Ruskin;X;X;X;17208;9.4%;30.1%;9.8%;49.5%;71.7%;9.1%;0.3%;1.3%;0.1%;2.2%;42.9%;45.8%;87.5%;16.9%;35.1%;70.0%;18.1%;779;29.5;6888;69.3%;12.3%;$146,100;5406;2.93;$20,716;$45,258;17.3%;Ruskin;1264;S;F;F;F;S;26.2%;NA;21582;73681;NA;10056;Ruskin;18.01;955.3;62275;Hillsborough County
Seffner;X;X;X;7579;6.7%;25.7%;9.8%;50.9%;76.5%;13.2%;0.5%;3.8%;Z;2.7%;15.9%;65.3%;82.4%;11.3%;16.7%;86.4%;21.3%;844;25.1;2919;85.0%;7.3%;$190,500;2646;2.77;$24,441;$54,589;12.5%;Seffner;S;S;S;S;S;S;S;NA;4932;219469;NA;14746;Seffner;3.6;2108.2;64925;Hillsborough County
Sun City Center;X;X;X;19258;0.7%;2.1%;76.9%;57.5%;95.8%;2.0%;0.1%;0.9%;Z;0.6%;3.2%;93.3%;88.1%;9.4%;11.1%;91.4%;31.4%;5019;30.1;14042;86.6%;17.6%;$148,100;11452;1.72;$30,707;$43,430;7.8%;Sun City Center;F;F;F;F;F;F;F;NA;NA;NA;NA;NA;Sun City Center;15.74;1223.4;69250;Hillsborough County
Tampa;347645;335709;3.6%;335709;6.4%;22.6%;11.0%;51.1%;62.9%;26.2%;0.4%;3.4%;0.1%;3.2%;23.1%;46.3%;77.8%;14.9%;24.7%;84.6%;32.2%;22454;22.7;157130;53.4%;37.3%;$189,400;134125;2.43;$28,863;$43,957;19.2%;Tampa;38665;11.3%;S;4.0%;S;20.6%;27.9%;2836469;6460543;6572083;$19,627;1376201;Tampa;113.41;2960.2;71000;Hillsborough County
Thonotosassa;X;X;X;13014;6.7%;23.7%;14.1%;49.7%;76.7%;15.6%;0.5%;1.7%;Z;2.7%;11.8%;68.7%;88.4%;5.6%;8.3%;79.9%;15.8%;1311;26.6;5545;74.0%;6.9%;$136,600;4630;2.8;$21,660;$39,118;20.5%;Thonotosassa;S;S;S;S;S;S;S;NA;7196;39276;NA;D;Thonotosassa;26.5;491.1;71725;Hillsborough County
Valrico;X;X;X;35545;5.5%;26.0%;12.5%;51.6%;81.4%;8.7%;0.3%;3.9%;0.1%;2.8%;16.3%;69.4%;90.1%;9.6%;18.7%;91.8%;33.5%;4159;31;13668;88.4%;2.7%;$222,100;12463;2.89;$32,873;$76,016;6.1%;Valrico;1330;S;F;S;F;S;31.5%;NA;2098;56838;NA;5097;Valrico;13.81;2574.6;73700;Hillsborough County
Wimauma;X;X;X;6373;11.9%;36.3%;6.3%;46.3%;68.5%;6.2%;1.0%;0.9%;0.5%;2.0%;73.4%;18.8%;87.4%;21.3%;55.2%;52.2%;5.1%;133;24.5;1802;58.2%;19.8%;$153,100;1344;3.15;$12,296;$26,782;37.4%;Wimauma;F;F;F;F;F;F;F;NA;NA;NA;NA;NA;Wimauma;25.03;254.6;78025;Hillsborough County
Vero Beach;15527;15222;2.0%;15220;4.6%;15.9%;28.4%;51.3%;87.5%;4.8%;0.3%;1.8%;0.1%;1.8%;10.7%;81.4%;82.4%;8.2%;13.1%;89.1%;32.5%;1787;17;10258;68.1%;43.4%;$239,200;7079;2.17;$34,703;$40,950;16.5%;Vero Beach;4757;S;S;S;F;2.8%;28.1%;254093;D;421745;$24,625;78968;Vero Beach;11.44;1331;74150;Indian River County
Sebastian;22364;21929;2.0%;21929;4.2%;18.3%;26.3%;52.4%;90.5%;5.3%;0.2%;1.1%;Z;1.6%;7.0%;85.3%;87.2%;6.6%;10.6%;89.4%;15.5%;3001;23.5;10815;82.9%;6.7%;$167,300;9117;2.37;$24,135;$44,235;8.7%;Sebastian;2048;S;F;F;F;S;32.3%;NA;15494;235579;$11,509;32035;Sebastian;13.66;1604.9;64825;Indian River County
Fellsmere;5286;5197;1.7%;5197;10.0%;34.1%;4.2%;43.9%;55.2%;5.4%;0.8%;0.1%;Z;1.8%;81.1%;13.3%;91.0%;54.8%;82.1%;38.1%;0.8%;81;31.7;1467;54.0%;24.5%;$90,500;1258;4.04;$11,864;$31,700;23.7%;Fellsmere;F;F;F;F;F;F;F;NA;NA;NA;NA;NA;Fellsmere;44.18;117.6;22100;Indian River County
Marianna;9094;7583;19.9%;6102;7.8%;24.8%;17.7%;52.8%;53.3%;42.0%;0.4%;0.9%;0.1%;2.5%;2.7%;52.0%;76.8%;4.1%;7.2%;77.8%;15.1%;594;14.4;3038;61.4%;21.8%;$89,500;2319;2.17;$18,201;$22,972;24.4%;Marianna;573;F;F;S;F;F;S;NA;23620;199514;$32,081;15458;Marianna;13.12;465.2;43175;Jackson County
Bonita Springs;46340;43914;5.5%;43914;4.4%;13.8%;33.8%;49.6%;88.8%;0.8%;0.5%;1.0%;0.1%;1.4%;22.5%;75.1%;86.5%;21.3%;26.5%;85.6%;28.5%;5944;22.8;31716;79.4%;31.5%;$269,300;18708;2.34;$39,964;$53,274;14.9%;Bonita Springs;5340;S;F;2.8%;F;6.8%;24.9%;NA;188279;663059;$15,674;104504;Bonita Springs;38.6;1137.7;7525;Lee County
Cape Coral;161248;154305;4.5%;154305;5.4%;22.4%;17.0%;51.2%;88.2%;4.3%;0.3%;1.5%;0.1%;2.3%;19.5%;73.5%;81.4%;14.7%;20.9%;89.6%;20.6%;15090;26.4;78948;74.9%;17.9%;$181,900;56002;2.72;$24,489;$51,407;11.9%;Cape Coral;18476;4.0%;S;2.0%;S;18.9%;28.2%;101191;115455;1227981;$7,934;125918;Cape Coral;105.67;1460.2;10275;Lee County
Estero;X;X;X;22612;2.8%;9.2%;42.0%;52.0%;95.2%;1.0%;0.1%;1.3%;Z;0.9%;5.9%;91.1%;89.6%;10.5%;11.7%;92.7%;39.8%;3676;21.8;18479;86.3%;29.3%;$281,600;10563;2.11;$45,762;$62,031;6.0%;Estero;2417;F;F;S;F;S;26.6%;NA;11268;422498;NA;105370;Estero;20.02;1129.2;21150;Lee County
Fort Myers Beach;6514;6277;3.8%;6277;1.0%;5.4%;45.4%;50.5%;97.7%;0.3%;0.2%;0.6%;Z;0.7%;2.8%;95.6%;90.7%;5.6%;5.9%;94.7%;35.5%;1170;24.4;9420;76.7%;67.7%;$415,300;3443;1.88;$57,902;$55,213;9.2%;Fort Myers Beach;918;F;F;F;F;F;S;NA;D;77185;$12,034;65645;Fort Myers Beach;2.77;2262.8;24150;Lee County
Fort Myers Beach;6514;6277;3.8%;6277;1.0%;5.4%;45.4%;50.5%;97.7%;0.3%;0.2%;0.6%;Z;0.7%;2.8%;95.6%;90.7%;5.6%;5.9%;94.7%;35.5%;1170;24.4;9420;76.7%;67.7%;$415,300;3443;1.88;$57,902;$55,213;9.2%;Fort Myers Beach;918;F;F;F;F;F;S;NA;D;77185;$12,034;65645;Fort Myers Beach;2.77;2262.8;24150;Lee County
Lehigh Acres;X;X;X;86784;8.7%;30.1%;10.3%;50.8%;67.5%;19.3%;0.4%;1.2%;0.1%;3.3%;34.3%;44.2%;71.7%;23.6%;37.2%;80.5%;14.5%;6049;34.6;38995;67.9%;7.3%;$120,100;28724;3.19;$18,171;$44,042;18.2%;Lehigh Acres;5742;13.5%;F;S;F;33.0%;25.3%;NA;D;384276;NA;23145;Lehigh Acres;92.56;937.6;39925;Lee County
Sanibel;6741;6469;4.2%;6469;1.3%;7.9%;50.1%;52.7%;98.0%;0.6%;0.1%;0.4%;Z;0.6%;2.3%;96.1%;90.9%;6.7%;5.1%;99.1%;59.4%;897;21.1;7821;89.3%;42.9%;$644,900;3395;1.94;$80,915;$88,906;5.5%;Sanibel;1244;F;F;F;F;F;S;NA;3505;96869;$17,139;60956;Sanibel;16.13;401.1;63700;Lee County
North Fort Myers;X;X;X;39407;2.6%;10.8%;43.4%;51.7%;94.7%;1.5%;0.4%;0.6%;0.1%;1.1%;6.2%;90.7%;89.3%;6.0%;7.0%;86.5%;17.4%;7641;26.3;27108;86.4%;11.3%;$89,400;19788;2.01;$27,185;$39,754;10.7%;North Fort Myers;3325;S;F;S;F;S;26.7%;NA;26735;441660;NA;48523;North Fort Myers;49.48;796.5;49350;Lee County
Tallahassee;186971;181382;3.1%;181376;5.5%;17.2%;8.1%;52.9%;57.4%;35.0%;0.2%;3.7%;0.1%;2.3%;6.3%;53.3%;64.2%;8.0%;10.9%;91.6%;46.5%;9988;17.7;84248;42.6%;43.7%;$191,400;73558;2.24;$24,195;$38,972;29.4%;Tallahassee;15796;16.3%;S;3.4%;F;4.8%;30.5%;574215;533689;2927829;$17,186;514494;Tallahassee;100.25;1809.3;70600;Leon County
Bradenton;50672;49560;2.2%;49546;6.5%;21.5%;23.0%;53.4%;73.3%;15.9%;0.3%;1.1%;0.1%;2.5%;17.0%;64.4%;79.4%;12.7%;17.2%;82.9%;21.3%;4613;22.2;26767;56.7%;43.0%;$161,800;21145;2.31;$23,120;$41,877;15.6%;Bradenton;5643;S;F;S;F;S;28.7%;99980;322438;718439;$13,466;103866;Bradenton;14.18;3494.8;7950;Manatee County
Longboat Key;6993;6888;1.5%;6888;0.6%;2.9%;67.3%;53.7%;98.4%;0.2%;0.1%;0.7%;0.0%;0.4%;1.1%;97.5%;90.6%;11.2%;8.5%;98.5%;60.4%;1396;21;8814;90.7%;68.3%;$700,400;3730;1.8;$95,088;$100,076;5.1%;Longboat Key;745;F;F;F;F;F;18.9%;NA;8083;53280;$7,321;93841;Longboat Key;4.13;1667.8;41150;Manatee County
Sarasota;52811;52006;1.5%;51917;5.2%;16.8%;22.4%;51.4%;75.4%;15.1%;0.4%;1.3%;Z;2.3%;16.6%;65.6%;77.2%;17.1%;20.0%;86.6%;27.2%;4451;19.2;29151;59.4%;43.6%;$205,800;22460;2.21;$32,329;$41,973;19.5%;Sarasota;9696;S;0.3%;S;F;6.5%;25.5%;93573;308427;1117591;$21,508;350145;Sarasota;14.66;3540.9;64175;Sarasota County
Ocala;56945;56324;1.1%;56315;7.0%;22.4%;17.2%;52.4%;70.7%;20.9%;0.3%;2.6%;Z;2.4%;11.7%;63.3%;74.9%;8.0%;13.7%;84.9%;21.9%;5173;20;26764;54.3%;38.1%;$140,700;22178;2.4;$22,567;$36,706;21.5%;Ocala;9307;10.0%;S;S;F;6.1%;24.4%;1297933;1071624;2529565;$46,678;245591;Ocala;44.83;1256.2;50750;Marion County
Silver Springs;X;X;X;6539;6.6%;23.9%;22.8%;53.9%;57.5%;33.3%;0.6%;1.1%;0.1%;3.0%;16.3%;47.8%;76.9%;15.8%;18.4%;81.6%;12.8%;717;37.2;3449;76.1%;30.8%;$99,300;2507;2.48;$17,154;$32,066;13.3%;Silver Springs Shores;381;S;F;F;F;F;S;NA;D;10608;NA;D;Silver Springs Shores;4.78;1368.6;66175;Marion County
Hobe Sound;X;X;X;11521;3.4%;14.9%;30.9%;51.2%;89.3%;7.0%;0.3%;0.8%;0.1%;1.2%;5.2%;85.7%;86.5%;5.0%;6.3%;86.9%;25.4%;1619;23.9;6523;80.3%;13.9%;$180,900;5071;2.27;$31,702;$46,568;9.0%;Hobe Sound;S;S;S;S;S;S;S;NA;3279;127769;NA;D;Hobe Sound;5.27;2187.8;30975;Martin County
Indiantown;X;X;X;6083;8.8%;28.9%;14.7%;44.7%;48.9%;14.6%;3.4%;0.2%;0.4%;2.7%;64.6%;20.6%;89.5%;35.2%;66.6%;52.4%;6.8%;268;26.6;1794;68.9%;13.5%;$114,500;1443;4.49;$11,607;$37,656;38.9%;Indiantown;227;S;F;F;F;S;S;NA;D;34518;NA;2975;Indiantown;5.82;1045;33700;Martin County
Jensen Beach;X;X;X;11707;3.4%;16.0%;26.1%;51.4%;94.5%;2.5%;0.2%;0.7%;Z;1.2%;4.8%;90.8%;87.1%;4.3%;5.8%;90.6%;22.2%;1505;23;6565;74.5%;18.5%;$209,400;5554;2.28;$27,749;$45,035;5.0%;Jensen Beach;1776;2.4%;F;S;F;S;S;NA;D;218235;NA;39226;Jensen Beach;6.76;1732.8;35550;Martin County
Palm City;X;X;X;23120;3.3%;20.9%;26.6%;52.9%;95.4%;1.1%;0.1%;1.6%;Z;1.3%;5.4%;90.9%;88.7%;6.3%;9.5%;95.9%;42.4%;2602;25.1;10939;87.7%;15.6%;$305,900;9098;2.57;$40,070;$75,833;5.2%;Palm City;3358;S;F;S;F;S;28.5%;NA;182137;179667;NA;19767;Palm City;13.91;1662.2;54175;Martin County
Stuart;15841;15594;1.6%;15593;5.1%;16.9%;25.1%;52.9%;80.0%;12.0%;0.3%;1.1%;0.1%;2.2%;12.3%;73.1%;74.1%;8.9%;10.7%;87.3%;27.7%;1818;19.1;9869;57.2%;67.5%;$139,400;7203;2.08;$25,554;$40,420;15.6%;Stuart;4501;3.2%;F;S;F;S;27.7%;218438;285976;865553;$54,468;100766;Stuart;6.65;2344.5;68875;Martin County
Hialeah;231941;224667;3.2%;224669;5.0%;19.1%;19.1%;51.7%;92.6%;2.7%;0.1%;0.4%;Z;1.6%;94.7%;4.2%;92.1%;73.4%;93.8%;67.9%;13.4%;2538;24.2;74067;51.9%;47.6%;$197,800;72603;3.07;$14,820;$31,096;21.6%;Hialeah;44336;S;S;1.3%;F;81.4%;26.3%;917002;1438117;2449708;$11,338;232152;Hialeah;21.45;10474.1;30000;Miami-Dade County
Homestead;63190;60509;4.4%;60512;10.5%;31.2%;6.5%;49.6%;66.9%;20.4%;0.4%;1.2%;0.1%;3.8%;62.9%;16.0%;78.3%;36.5%;61.2%;70.3%;18.4%;1939;33.1;23419;42.8%;37.0%;$169,600;17977;3.18;$16,899;$38,724;29.3%;Homestead;6340;11.6%;F;1.9%;F;59.3%;28.7%;NA;155430;512737;$8,954;65635;Homestead;15.14;3996.8;32275;Miami-Dade County
Key Biscayne;12762;12344;3.4%;12344;6.7%;28.2%;17.4%;53.6%;96.2%;0.4%;0.1%;1.1%;0.0%;1.2%;61.6%;36.5%;85.0%;46.3%;74.1%;97.9%;75.2%;613;22.2;7072;76.0%;75.9%;$822,700;4374;2.78;$69,967;$114,250;5.8%;Key Biscayne;1941;S;F;2.3%;F;58.2%;30.8%;NA;192579;97648;$9,790;101725;Key Biscayne;1.23;10068.5;36300;Miami-Dade County
Miami Beach;90588;87784;3.2%;87779;4.2%;12.8%;16.2%;47.6%;87.4%;4.4%;0.3%;1.9%;0.1%;2.7%;53.0%;40.5%;76.0%;51.1%;67.3%;85.3%;42.9%;2150;25.3;67499;40.6%;88.7%;$349,400;43907;1.98;$42,079;$42,411;15.0%;Miami Beach;15971;4.1%;S;S;F;37.9%;27.5%;NA;409589;1102345;$12,736;1345554;Miami Beach;7.63;11510.5;45025;Miami-Dade County
Miami;413892;399508;3.6%;399457;6.0%;18.4%;16.0%;50.2%;72.6%;19.2%;0.3%;1.0%;Z;2.7%;70.0%;11.9%;81.5%;58.4%;77.6%;68.4%;22.4%;7876;26.6;183994;34.7%;61.6%;$257,500;149648;2.58;$20,732;$30,270;27.7%;Miami;85146;11.1%;S;2.0%;S;62.5%;28.7%;1079445;11188164;5622524;$13,240;1337750;Miami;35.87;11135.9;45000;Miami-Dade County
North Miami Beach;42971;41523;3.5%;41523;6.4%;23.4%;11.3%;52.1%;47.1%;41.4%;0.2%;3.4%;0.1%;3.8%;36.6%;18.4%;86.7%;51.7%;66.2%;82.5%;22.8%;940;30.6;16402;57.4%;51.2%;$206,200;13605;3.03;$18,097;$41,489;19.3%;North Miami Beach;7182;25.1%;F;S;F;32.0%;36.6%;NA;148873;731068;$17,670;90259;North Miami Beach;4.83;8602.2;49475;Miami-Dade County
Opa locka;15701;15219;3.2%;15219;9.3%;29.2%;10.1%;52.6%;27.7%;65.8%;0.2%;0.2%;0.2%;2.1%;35.3%;2.1%;91.5%;32.0%;44.1%;58.7%;8.1%;246;23.6;5966;32.7%;58.5%;$145,000;5317;2.82;$13,209;$22,214;32.6%;Opa-locka;2741;S;F;S;S;S;28.0%;266949;556255;216888;$13,108;8845;Opa-locka;4.3;3536;51650;Miami-Dade County
Islamorada;6279;6117;2.6%;6119;3.1%;13.9%;22.0%;48.2%;96.5%;0.7%;0.4%;0.6%;0.1%;1.0%;9.6%;87.8%;90.5%;11.4%;12.8%;95.6%;26.1%;622;21.6;5692;76.6%;23.6%;$617,500;2510;2.37;$48,241;$66,708;13.7%;Islamorada, Village of Islands;1480;F;F;F;F;S;S;NA;3918;119583;$18,758;109533;Islamorada, Village of Islands;6.43;951.6;34132;Monroe County
Key Largo;X;X;X;10433;4.0%;16.7%;18.0%;48.1%;93.0%;2.3%;0.5%;0.8%;0.1%;1.8%;23.7%;71.3%;85.1%;22.7%;29.7%;87.0%;26.7%;1124;26.2;8459;68.8%;15.4%;$425,600;4672;2.54;$31,216;$51,798;11.9%;Key Largo;2187;F;F;F;F;S;19.4%;NA;7377;288980;NA;43733;Key Largo;12.05;865.9;36375;Monroe County
Key West;25057;24649;1.7%;24649;4.9%;14.5%;12.8%;44.6%;83.8%;9.7%;0.4%;1.6%;0.2%;2.1%;21.2%;66.1%;80.6%;18.6%;21.6%;89.0%;28.1%;2644;11.8;14107;46.1%;41.5%;$494,200;9191;2.55;$32,431;$51,385;12.6%;Key West;5020;S;F;S;F;S;26.1%;NA;23729;563566;$24,825;396405;Key West;5.59;4411.8;36550;Monroe County
Marathon;8461;8297;2.0%;8297;4.8%;16.6%;18.3%;48.1%;90.5%;4.8%;0.3%;1.1%;Z;1.8%;26.8%;66.4%;87.3%;17.8%;25.6%;85.2%;28.1%;751;15.3;6187;63.1%;22.5%;$361,100;3257;2.55;$31,314;$49,633;17.0%;Marathon;1589;S;F;F;F;S;S;NA;44171;186663;$19,291;30207;Marathon;8.44;983.4;43000;Monroe County
Fernandina Beach;11705;11487;1.9%;11487;3.8%;16.3%;22.3%;52.7%;83.4%;11.7%;0.4%;1.1%;0.1%;1.6%;5.3%;80.2%;84.0%;4.8%;10.4%;90.3%;36.4%;1920;26.4;7064;72.8%;21.6%;$286,500;4919;2.29;$31,936;$53,231;15.0%;Fernandina Beach;2355;1.3%;F;S;F;S;S;D;127702;229970;$20,048;60888;Fernandina Beach;11.13;1031.8;22175;Nassau County
Yulee;X;X;X;11491;6.3%;23.2%;11.2%;49.9%;90.5%;5.6%;0.4%;0.9%;0.1%;1.5%;3.1%;88.8%;87.4%;2.8%;5.0%;87.5%;13.3%;1331;25.7;4714;77.1%;3.4%;$163,800;4378;2.71;$24,549;$57,358;6.0%;Yulee;845;S;F;7.2%;F;F;S;NA;59341;170066;NA;15235;Yulee;23.16;496.2;79175;Nassau County
Crestview;22351;20978;6.5%;20978;9.1%;27.9%;9.2%;51.1%;71.4%;18.6%;0.5%;3.1%;0.3%;4.4%;6.6%;67.7%;75.8%;5.2%;9.0%;87.3%;18.3%;3197;27.2;9153;63.4%;18.0%;$169,300;7269;2.72;$21,359;$48,750;19.4%;Crestview;2265;S;F;S;F;4.5%;28.8%;NA;D;474557;$24,463;38761;Crestview;16.02;1309.2;15475;Okaloosa County
Destin;12809;12305;4.1%;12305;5.3%;18.6%;15.3%;49.3%;90.1%;1.5%;0.3%;2.1%;0.1%;3.0%;6.5%;86.5%;82.3%;14.3%;15.9%;91.8%;34.8%;1497;25;13672;73.6%;56.9%;$292,800;5026;2.43;$38,537;$63,716;6.1%;Destin;3132;F;F;S;F;S;21.8%;NA;33922;572200;$45,158;186005;Destin;7.69;1600.1;17325;Okaloosa County
Fort Walton Beach;20293;19510;4.0%;19507;5.0%;19.1%;18.8%;50.5%;77.7%;12.3%;0.7%;3.2%;0.3%;3.7%;7.9%;73.0%;78.9%;9.8%;12.5%;89.8%;21.3%;2914;20.2;9592;63.3%;27.8%;$173,200;8164;2.37;$26,015;$47,282;11.8%;Fort Walton Beach;2779;3.7%;F;6.6%;F;S;25.0%;437829;102483;861557;$45,082;84651;Fort Walton Beach;7.48;2606.8;24475;Okaloosa County
Niceville;13587;12749;6.6%;12749;5.2%;21.6%;15.2%;50.6%;87.2%;4.2%;0.6%;3.2%;0.1%;3.9%;4.7%;84.0%;85.6%;6.1%;6.8%;92.2%;34.1%;2701;21.2;5695;77.5%;12.6%;$207,800;5302;2.4;$31,516;$63,864;8.7%;Niceville;1540;F;F;S;F;S;S;NA;6487;92316;$7,462;19180;Niceville;11.42;1116.4;48750;Okaloosa County
